"","fromId","min_travel_time"
"725","11194",17
"726","11195",17
"727","11196",17
"728","11197",32
"729","11198",32
"730","11199",32
"731","11200",35
"732","11201",38
"733","11202",38
"734","11203",35
"735","11204",38
"736","11205",38
"737","11206",29
"738","11207",29
"739","11208",29
"740","11209",29
"741","11210",29
"742","11211",29
"743","11212",35
"744","11213",35
"745","11214",35
"746","11215",35
"747","11216",35
"748","11217",35
"749","11218",41
"750","11219",41
"751","11303",28
"752","11304",28
"753","11305",28
"754","11306",28
"755","11307",28
"756","11308",34
"757","11309",34
"758","11310",34
"759","11311",34
"760","11312",34
"761","11313",37
"762","11314",37
"763","11315",37
"764","11316",32
"765","11317",32
"766","11318",22
"767","11319",27
"768","11320",27
"769","11321",31
"770","11322",28
"771","11323",17
"772","11324",17
"773","11325",17
"774","11326",17
"775","11327",16
"776","11328",16
"777","11329",15
"778","11330",15
"779","11331",16
"780","11332",19
"781","11333",20
"782","11334",19
"783","11335",18
"784","11336",16
"785","11337",19
"786","11338",19
"787","11339",19
"788","11340",19
"789","11341",19
"790","11342",31
"791","11343",19
"792","11344",19
"793","11345",19
"794","11346",25
"795","11347",34
"796","11348",34
"797","11349",34
"798","11350",36
"799","11351",36
"800","11352",34
"801","11353",33
"802","11354",14
"803","11355",18
"804","11356",9
"805","11357",5
"806","11358",12
"807","11359",13
"808","11360",14
"809","11361",14
"810","11362",14
"811","11363",13
"812","11364",14
"813","11365",8
"814","11366",6
"815","11367",5
"816","11368",9
"817","11369",10
"818","11370",13
"819","11371",16
"820","11372",19
"821","11373",20
"822","11374",29
"823","11375",20
"824","11376",20
"825","11377",29
"826","11378",29
"827","11379",28
"828","11380",28
"829","11381",28
"830","11382",28
"831","11383",28
"832","11384",28
"833","11385",31
"834","11386",32
"835","11387",31
"836","11388",27
"837","11389",24
"838","11390",22
"839","11391",20
"840","11392",21
"841","11393",13
"842","11394",9
"843","11395",6
"844","11396",5
"845","11397",2
"846","11398",5
"847","11399",8
"848","1140",33
"849","11400",12
"850","11401",13
"851","11402",16
"852","11403",17
"853","11404",17
"854","11405",17
"855","11406",17
"856","11407",17
"857","11408",17
"858","11409",32
"859","1141",37
"860","11410",32
"861","11411",20
"862","11412",32
"863","11413",32
"864","11414",38
"865","11415",38
"866","11416",38
"867","11417",29
"868","11418",29
"869","11419",29
"870","1142",25
"871","11420",29
"872","11421",11
"873","11422",29
"874","11423",11
"875","11424",35
"876","11425",35
"877","11426",35
"878","11427",35
"879","11428",35
"880","11429",35
"881","1143",25
"882","11430",41
"883","11431",41
"884","11432",41
"885","11433",41
"886","1144",25
"887","1145",43
"888","1146",43
"889","1147",43
"890","1148",43
"891","1149",43
"892","1150",43
"893","1151",43
"894","11515",28
"895","11516",28
"896","11517",28
"897","11518",28
"898","11519",28
"899","1152",43
"900","11520",39
"901","11521",39
"902","11522",39
"903","11523",34
"904","11524",34
"905","11525",34
"906","11526",37
