,DBUID,dbpop,A_21,A_20,area,lim,lico,vismin,pop,immig,no_car_rate
1889,35200833003,269.0,17.305838302212646,17.706066773140716,7846.956005484466,76.76178660049628,68.41811414392059,65.08064516129032,806.0,11.681141439205955,126.23782376605315
1890,35200833004,102.0,17.391140694643997,17.850814781888566,4012.0692608008535,29.106699751861044,25.942928039702235,24.677419354838708,806.0,4.429280397022333,47.867130201254355
1891,35200833006,57.0,17.906179069992454,18.241230999172277,3423.394572372541,16.265508684863523,14.497518610421837,13.790322580645162,806.0,2.4751861042183623,26.74927864187743
1892,35200833010,378.0,17.645166731548994,17.80001551757825,66590.28738904322,107.86600496277916,96.14143920595534,91.45161290322581,806.0,16.41439205955335,177.38995309876614
1893,35200855001,0.0,12.606731225677558,11.674261737347546,17537.44291347452,0.0,0.0,0.0,1242.0,0.0,0.0
1894,35200855002,0.0,13.07172705343776,12.135485337597098,14124.971814030674,0.0,0.0,0.0,1242.0,0.0,0.0
1895,35200855004,0.0,13.064055907182462,12.414301434577602,14916.90078271625,0.0,0.0,0.0,1242.0,0.0,0.0
1896,35200855005,24.0,15.063452374178812,14.70645035910394,7764.520725198317,4.057971014492754,3.4782608695652173,10.821256038647343,1242.0,3.0917874396135265,7.590497380320096
1897,35200855007,89.0,12.870408618814595,12.386689104641066,28867.06832302871,15.048309178743962,12.898550724637682,40.128824476650564,1242.0,11.46537842190016,28.148094452020356
1898,35200855009,0.0,16.356256978442484,15.89511380625429,24448.770365908855,0.0,0.0,0.0,1242.0,0.0,0.0
1899,35200855010,0.0,15.016999100709267,14.701379021051903,8639.64833009497,0.0,0.0,0.0,1242.0,0.0,0.0
1900,35200855012,0.0,15.479219231256828,16.559219231255707,6372.612029736803,0.0,0.0,0.0,1242.0,0.0,0.0
1901,35200855014,0.0,15.876235573415581,15.203785574169927,40396.7845613181,0.0,0.0,0.0,1242.0,0.0,0.0
1902,35200855015,105.0,12.127019934507162,11.968799757298882,5512.603049727661,17.753623188405797,15.217391304347826,47.34299516908212,1242.0,13.526570048309178,33.20842603890042
1903,35200855018,502.0,15.106330314823506,16.026988335478737,11728.250798602337,84.8792270531401,72.7536231884058,226.34460547504025,1242.0,64.66988727858293,158.76790353836202
1904,35200855019,0.0,13.58287689785685,12.6509306330932,25021.64186156621,0.0,0.0,0.0,1242.0,0.0,0.0
1905,35200855021,0.0,16.008546535938844,15.500768394615282,8450.926878785185,0.0,0.0,0.0,1242.0,0.0,0.0
1906,35200855022,0.0,13.77695374171864,13.143509678105536,28863.323702686477,0.0,0.0,0.0,1242.0,0.0,0.0
1907,35200855023,0.0,15.37714278133993,15.992297932312734,6829.997884705526,0.0,0.0,0.0,1242.0,0.0,0.0
1908,35200855024,0.0,15.1683226815058,14.874908514580309,8133.207888319188,0.0,0.0,0.0,1242.0,0.0,0.0
1909,35200855025,0.0,15.051646439139635,15.605195838249603,7600.912257732947,0.0,0.0,0.0,1242.0,0.0,0.0
1910,35200855026,0.0,15.029923506279424,15.294923868365299,14857.882075733512,0.0,0.0,0.0,1242.0,0.0,0.0
1911,35200855027,0.0,14.602929747745884,15.376832115916457,9431.765912506717,0.0,0.0,0.0,1242.0,0.0,0.0
1912,35200855028,0.0,15.360234942193394,15.265966118587425,14358.152346998848,0.0,0.0,0.0,1242.0,0.0,0.0
1913,35200855029,120.0,14.819525408243255,16.184548830493146,8399.237604582246,20.28985507246377,17.391304347826086,54.106280193236714,1242.0,15.458937198067632,37.95248690160048
1914,35200855032,0.0,16.02358647434267,16.575324953919004,19714.662075713604,0.0,0.0,0.0,1242.0,0.0,0.0
1915,35200855033,0.0,15.379938140957663,15.99999999999984,4851.268032302596,0.0,0.0,0.0,1242.0,0.0,0.0
1916,35200855035,0.0,15.70930969900029,16.210485286429986,2716.355506887751,0.0,0.0,0.0,1242.0,0.0,0.0
1917,35200855037,0.0,15.586881388568141,15.130110255460284,24821.994138693342,0.0,0.0,0.0,1242.0,0.0,0.0
1918,35200855038,5.0,15.533378364753041,14.726586459414776,42211.809644370274,0.8454106280193237,0.7246376811594203,2.254428341384863,1242.0,0.644122383252818,1.58135362090002
1919,35200855039,392.0,15.256237267421113,15.920040875580366,5505.684764978978,66.28019323671498,56.81159420289855,176.74718196457326,1242.0,50.49919484702093,123.97812387856158
