,j,pop_2020,pop_2021,lim_2020,lim_2021,lico_2020,lico_2021,vismin_2020,vismin_2021,immig_2020,immig_2021,nocar_2020,nocar_2021,pop_2020_p,pop_2021_p,lim_2020_p,lim_2021_p,lico_2020_p,lico_2021_p,immig_2020_p,immig_2021_p,vismin_2020_p,vismin_2021_p,nocar_2020_p,nocar_2021_p
36,36,2670989.0,2672307.0,536570.7905682126,536467.3725403793,463173.28432034905,463109.5696727755,1367046.5931509468,1368197.322207608,278919.9390714185,278712.53662184294,694761.7276523369,695563.906699512,0.9778215539702244,0.9783040601910037,0.9901839682743946,0.9899931213721943,0.9900355559553056,0.9898993655301054,0.9902365856194082,0.989500254275724,0.9864816876783813,0.987312071329943,0.9875164627419357,0.98865665942178
37,37,2683971.0,2683856.0,537689.9421600394,537712.7294459015,464138.0035536911,464201.8511846686,1371024.5796176507,1370891.8567902644,279513.2085862577,279246.9183714204,696812.6115404958,697285.8529316444,0.9825741304179902,0.9825320301028236,0.9922492427615172,0.9922912942587989,0.9920976488584489,0.992234123536439,0.9923428429944898,0.9913974451358705,0.9893522634311732,0.9892564886131022,0.990431536388224,0.9911041895382318
38,38,2694330.0,2697911.0,538720.0979439816,539309.7594962566,465060.98953584494,465558.209149694,1374467.77004666,1376516.7555839184,280097.640688848,280272.13240752526,698504.1084367639,698948.882407092,0.98636645359026,0.9876774207955789,0.9941502850098373,0.9952384422968789,0.9940705366974388,0.9951333464783425,0.9944177253127711,0.9950372152076028,0.9918369222002485,0.9933155014388423,0.9928357866012949,0.9934679768910254
39,39,2701544.0,2707834.0,539257.1690010815,540285.026995012,465550.4249682828,466405.02359594835,1376574.620963334,1380067.5043517288,280444.98672662646,280817.4330092675,699411.7075520394,700292.3969268278,0.9890074246651469,0.9913101288599124,0.9951413921664555,0.9970381940892267,0.9951167077458594,0.9969434172217763,0.9956508919182969,0.9969731707646101,0.993357257979863,0.9958777759469247,0.9941258246564036,0.995377613898025
40,40,2708704.0,2714820.0,539888.8539555226,540828.7474427941,466118.1698413224,466904.7993020961,1378231.8478100875,1381890.2948508614,280726.0018079984,281078.5538723715,700745.3034273498,701430.7861265218,0.9916286268963904,0.9938676314838604,0.9963070991447004,0.9980415719847077,0.9963302656734185,0.9980116906646519,0.9966485667909207,0.9979002161123717,0.9945531381677379,0.9971931293934548,0.9960213635571485,0.9969956910473005
41,41,2718146.0,2720581.0,540926.0143484581,541194.082352609,467013.9172875297,467255.6972506561,1380444.4335753203,1383234.8654280014,281187.80819706025,281305.76774895674,701979.3655088946,702359.8813529675,0.9950852458164184,0.9959766742288595,0.9982210676492594,0.9987157584613263,0.9982449309853496,0.9987617370454486,0.9982880966984786,0.9987068830509354,0.9961497738279674,0.9981633920449147,0.9977754276816779,0.998316283122328
42,42,2722852.0,2723947.0,541271.866335063,541388.7113809573,467304.4412982789,467411.19743779,1382587.838698141,1383982.8338804264,281389.56437137566,281411.7915718241,702608.4662654453,702665.4389697107,0.996808063930976,0.9972089321493016,0.998859300476226,0.9990749255032504,0.9988659277272548,0.9990941195887254,0.9990043823317212,0.9990832945355357,0.9976964876806863,0.9987031374968803,0.9986696153277312,0.9987505948652471
43,43,2725398.0,2727537.0,541446.2595320138,541595.1512200049,467456.6094071242,467583.15344964236,1383990.711611232,1384717.2037995819,281477.49741282326,281522.0297571239,702838.119076217,703122.2499047072,0.9977401282997952,0.9985231941618944,0.9991811244570169,0.999455888132285,0.9991911879340485,0.9994616765518691,0.9993165669500603,0.9994746680765582,0.9987088221876723,0.9992330700396761,0.9989960379303668,0.9993998941871799
44,44,2727605.0,2728876.0,541604.8061475533,541690.9230081518,467600.56872664683,467672.7810197584,1384532.9508399842,1385074.8966523781,281539.32417747163,281568.0316474342,703116.7424158879,703165.7616010726,0.9985480882612973,0.9990133882663127,0.9994737052677708,0.9996326247174719,0.999498901806509,0.9996532559978619,0.9995360676588627,0.9996379864644245,0.9991001102916659,0.9994911866619367,0.999392065984127,0.999461740594045
45,45,2729387.0,2729063.0,541714.04687722,541702.7214078396,467698.9072967098,467683.06922930444,1385182.1091172886,1385117.1821854436,281621.64893422945,281579.8300471219,703154.4105827308,703179.2837512224,0.9992004601015313,0.9990818470396706,0.9996752973430385,0.999654397401389,0.9997091010649292,0.9996752471048677,0.9998283414429285,0.9996798737782587,0.9995685528130649,0.9995217005480265,0.9994456065483207,0.9994809606307181
46,46,2730256.0,2730273.0,541771.9141822782,541771.7141969599,467746.2362642454,467747.1807577417,1385426.8432714294,1385408.55711961,281652.694420782,281650.40546315257,703207.0028279885,703219.2150041439,0.9995185920483122,0.9995248155731629,0.999782085261358,0.9997817162098561,0.99981026700492,0.999812285865194,0.9999385608008741,0.9999304344202535,0.9997451567142186,0.9997319611479532,0.9995203598139907,0.9995377178872975
47,47,2730486.0,2730476.0,541784.5817454199,541783.2372076047,467758.8812278608,467757.3686228188,1385466.7589934769,1385463.733783393,281662.2974607011,281662.1293934742,703227.456129917,703226.3722402218,0.9996027926786454,0.9995991317816744,0.9998054618934081,0.9998029806927674,0.9998372956872875,0.9998340624853209,0.9999726540302528,0.9999720573489347,0.9997739605085059,0.9997717774707338,0.9995494316116558,0.9995478909987016
