"","fromId","min_travel_time"
"725","11194",17
"726","11195",17
"727","11196",17
"728","11197",29
"729","11198",29
"730","11199",29
"731","11200",29
"732","11201",29
"733","11202",29
"734","11203",29
"735","11204",38
"736","11205",38
"737","11206",29
"738","11207",29
"739","11208",29
"740","11209",29
"741","11210",29
"742","11211",29
"743","11212",35
"744","11213",35
"745","11214",35
"746","11215",35
"747","11216",35
"748","11217",35
"749","11218",41
"750","11219",41
"751","11303",28
"752","11304",28
"753","11305",28
"754","11306",28
"755","11307",28
"756","11308",39
"757","11309",39
"758","11310",39
"759","11311",39
"760","11312",40
"761","11313",35
"762","11314",35
"763","11315",30
"764","11316",27
"765","11317",27
"766","11318",25
"767","11319",25
"768","11320",25
"769","11321",27
"770","11322",27
"771","11323",17
"772","11324",17
"773","11325",17
"774","11326",17
"775","11327",16
"776","11328",16
"777","11329",15
"778","11330",15
"779","11331",16
"780","11332",19
"781","11333",20
"782","11334",19
"783","11335",18
"784","11336",16
"785","11337",19
"786","11338",24
"787","11339",25
"788","11340",27
"789","11341",27
"790","11342",27
"791","11343",25
"792","11344",25
"793","11345",25
"794","11346",27
"795","11347",27
"796","11348",27
"797","11349",27
"798","11350",27
"799","11351",27
"800","11352",27
"801","11353",27
"802","11354",24
"803","11355",29
"804","11356",16
"805","11357",16
"806","11358",16
"807","11359",16
"808","11360",16
"809","11361",16
"810","11362",16
"811","11363",13
"812","11364",15
"813","11365",8
"814","11366",6
"815","11367",5
"816","11368",9
"817","11369",10
"818","11370",13
"819","11371",13
"820","11372",18
"821","11373",18
"822","11374",21
"823","11375",18
"824","11376",21
"825","11377",21
"826","11378",21
"827","11379",29
"828","11380",29
"829","11381",29
"830","11382",29
"831","11383",29
"832","11384",29
"833","11385",31
"834","11386",34
"835","11387",31
"836","11388",21
"837","11389",21
"838","11390",22
"839","11391",20
"840","11392",21
"841","11393",13
"842","11394",9
"843","11395",6
"844","11396",5
"845","11397",2
"846","11398",5
"847","11399",8
"848","1140",33
"849","11400",12
"850","11401",13
"851","11402",16
"852","11403",17
"853","11404",17
"854","11405",17
"855","11406",17
"856","11407",17
"857","11408",17
"858","11409",29
"859","1141",37
"860","11410",29
"861","11411",20
"862","11412",29
"863","11413",29
"864","11414",29
"865","11415",38
"866","11416",38
"867","11417",29
"868","11418",29
"869","11419",29
"870","1142",25
"871","11420",29
"872","11421",11
"873","11422",29
"874","11423",11
"875","11424",35
"876","11425",35
"877","11426",35
"878","11427",35
"879","11428",35
"880","11429",35
"881","1143",25
"882","11430",41
"883","11431",41
"884","11432",41
"885","11433",41
"886","1144",25
"887","1145",43
"888","1146",43
"889","1147",43
"890","1148",43
"891","1149",43
"892","1150",43
"893","1151",43
"894","11515",28
"895","11516",28
"896","11517",28
"897","11518",28
"898","11519",28
"899","1152",43
"900","11520",39
"901","11521",39
"902","11522",39
"903","11523",40
"904","11524",40
"905","11525",40
"906","11526",35
