ctuid,h_N_hhld,h_N_no_car_hhld,year,no_car_rate
5350008.01,1378.63787079611,441.604427370962,2016,0.320319379530719
5350008.02,7934.94309051696,2546.14652938091,2016,0.320877730354967
5350009.00,896.145000092201,345.815814806622,2016,0.385892701260446
5350010.01,2083.56047230881,804.030778898735,2016,0.385892701260445
5350010.02,4821.50452759899,1860.58340629464,2016,0.385892701260445
5350011.00,11890.35,5861.95,2016,0.493000626558512
5350012.01,6881.23,2574.15,2016,0.374082831121762
5350012.03,5430.02,2081.92,2016,0.383409269210795
5350012.04,2836.97,1283.14,2016,0.452292410564793
5350013.01,4418.59347518576,2130.76696235101,2016,0.482227426966775
5350013.02,4376.09652481424,1632.50303764899,2016,0.373050052345061
5350014.00,696.65,220.33,2016,0.316270724180004
5350015.00,2294.27,913.04,2016,0.397965365889804
